"ean","name","brand","pack_size","category","image_url","source"
"07804320746418","Isla Negra Cabernet Sauvignon 75Cl","ISLA NEGRA","75CL","Drinks > Wine > Red Wine","https://digitalcontent.api.tesco.com/v2/media/ghs/1c8f3524-5243-4d2c-aeff-b0f8b77dfa88/79d0f973-926d-4531-8370-8cda38686787_1681926476.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"05022825001401","The Cake Crew Rainbow Cupcakes 4 Pack","THE CAKE CREW","","Bakery > Cakes, Cake Bars, Slices & Pies > Birthday & Celebration Cakes","https://digitalcontent.api.tesco.com/v2/media/ghs/e4effbb4-07d0-44a7-a5c9-702ed73ee9f1/f38f914d-abce-4e5b-bb8b-3c72a5623136_1647015107.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"08001090222848","Herbal Essences Bio. Renew Argan Shampoo 400Ml","HERBAL ESSENCES","400ML","Health & Beauty > Shampoo > Natural Shampoo","https://digitalcontent.api.tesco.com/v2/media/ghs/ca2dd325-1d22-4027-a134-9f5f52b62e59/d93e82e9-2a22-4087-9f8d-d07a75e4f184_1240942931.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"04009900532099","Wrigley's Extra Cool Breeze 6X10 Pieces 84G","WRIGLEYS","84G","Food Cupboard > Chocolate, Sweets, Mints & Chewing Gum > Chewing Gum","https://digitalcontent.api.tesco.com/v2/media/ghs/89eaa9cf-ebd2-474e-ae4d-aa0a3dc4cdae/e956f948-ee3c-4139-9ef5-eff3301fdd6c_908008885.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"05030765037916","Jurassic World Dinosaur Celebration Cake","JURASSIC WORLD","","Bakery > Cakes, Cake Bars, Slices & Pies > Birthday & Celebration Cakes","https://digitalcontent.api.tesco.com/v2/media/ghs/0dc0e5a5-6c82-4120-bbf5-457ec40c736e/bca7915a-ccbc-4448-851a-94e610c4fd71.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"05038635076102","Edingburgh Raspberry Gin Liqueur & Scented Candle Set","EDINBURGH GIN DISTILLERY","","Drinks > Alcohol Gift Sets > Spirits Gift Sets","https://digitalcontent.api.tesco.com/v2/media/ghs/2a809213-7fc9-49e4-88bc-cb58207c1e15/ab7a908f-aa4d-4a35-b405-901b482122f6_806965540.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"05016157074646","Gressingham Duck Fillets 250G","GRESSINGHAM","250G","Fresh Food > Fresh Meat & Poultry > Duck, Venison & Game","https://digitalcontent.api.tesco.com/v2/media/ghs/ade5dfa7-cc9e-4bb2-9598-d0f08f64b045/79cd5e61-45a0-4be2-82e3-7e669ad3ebf3.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"05016805010699","Veetee Plants & Rice Beetroot Risotto 280G","VEETEE","280G","Food Cupboard > Dried Pasta, Rice, Noodles & Cous Cous > Flavoured Microwave Rice","https://digitalcontent.api.tesco.com/v2/media/ghs/aed73e1c-5144-412b-80d8-93401bb1e800/fb39b2e1-c663-4da5-a169-aca0f16c3deb_113536758.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"05055964766399","Playstation PS5 Mug & Socks Gift Set","PLAYSTATION","","Home & Ents > Christmas Gifts > Tech & Gadget Gifts","https://digitalcontent.api.tesco.com/v2/media/ghs/2dea046f-35cd-4c7c-9a01-d2296b860493/6da2e793-64fb-4e93-9fb5-74e69035d3c0_989560187.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"05059697729812","Tesco Milk Chocolate Ices 6 X 70Ml","TESCO","420ML","Frozen Food > Ice Cream, Ice Lollies & Frozen Desserts > Ice Cream Sticks","https://digitalcontent.api.tesco.com/v2/media/ghs/37419950-0919-4450-b5a3-5ad47cb27fb4/1736fb7f-9f31-49c7-9fa7-34bc9cae4252.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"05060253800326","Petface Laser Chaser Cat Toy","PETFACE","","Pets > Cat Food & Accessories > Cat Toys, Healthcare & Accessories","https://digitalcontent.api.tesco.com/v2/media/ghs/21c26e83-16ae-4c5e-851a-0778a83fc66f/cdc56cba-b407-49fb-9d9a-94322cd61a82_1272857620.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"04005900690500","Nivea Men Sensitive Shower Gel 400Ml","NIVEA","400ML","Health & Beauty > Men's Toiletries > Shower","https://digitalcontent.api.tesco.com/v2/media/ghs/320fb72c-ea54-411d-be36-93500edb72ba/25350f92-bfa0-42ff-acf2-96cef5df4f38_564861408.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"05013967018891","Tamnavulin Wine Cask Edition Single Malt Whisky 70Cl","TAMNAVULIN","700ML","Drinks > Spirits > Whisky","https://digitalcontent.api.tesco.com/v2/media/ghs/cab841d6-a521-4769-9ca5-6650a428ee1b/d8309d28-d8bf-4991-80ee-0f7449616f1b_475059384.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"05059697275258","Tesco Reusable Mixed Cutlery 12 Pack","TESCO CELEBRATE","","Home & Ents > Party & Giftwrap > Party Tableware","https://digitalcontent.api.tesco.com/v2/media/ghs/2c358621-ffe2-49dd-a696-8bafa410be14/0bb869a7-a546-48c4-9ccd-585b7e044ced_1058608936.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"05011348023519","Shipyard American Ipa 4 X 440Ml","SHIPYARD","1760ML","Drinks > Beer & Cider > Craft Beer","https://digitalcontent.api.tesco.com/v2/media/ghs/76c14213-50cd-4851-bad6-096a8572ae86/9eafbdf3-8c29-48f0-83dd-73bf85edac1d_63582722.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
